Trace	Trace Start (ms)	Trace Start (minutes)	R1S1 Peak Amp (pA)	Abs Val R1S1 Peak Amp (pA)	Normalized to Baseline (431.6799)	Time From SNAP Addition	Color Code	Z-score
45	880000	14.666666666666666	-614.232	614.232	142.28876205983272	-0.3333333333333339	grey	1.3312839835690315
46	900000	15.0	-429.255	429.255	99.43826202150572	0.3333333333333333	red	-0.16055280204137123
47	920000	15.333333333333334	-467.437	467.437	108.28324162688045	0.6666666666666672	red	0.14738446663622887
48	940000	15.666666666666666	-427.269	427.269	98.97819891595142	0.9999999999999993	red	-0.1765698628447265
49	960000	16.0	-456.387	456.387	105.72347459950129	1.3333333333333333	red	0.05826637908483074
50	980000	16.333333333333332	-509.469	509.469	118.02008576215653	1.6666666666666654	red	0.4863719287140895
51	1e+006	16.666666666666668	-424.67	424.67	98.37613244498685	2.0000000000000013	red	-0.19753075963622718
52	1.02e+006	17.0	-459.97	459.97	106.55348774512117	2.3333333333333335	red	0.08716322141032047
53	1.04e+006	17.333333333333332	-478.117	478.117	110.75729699813921	2.6666666666666656	red	0.2335185096270824
54	1.06e+006	17.666666666666668	-476.188	476.188	110.31043812068995	3.0000000000000013	red	0.21796115298575666
55	1.08e+006	18.0	-522.222	522.222	120.9743580608141	3.3333333333333335	red	0.5892246862292911
56	1.1e+006	18.333333333333332	-477.183	477.183	110.54093297971639	3.6666666666666656	red	0.2259858133580319
57	1.12e+006	18.666666666666668	-376.434	376.434	87.20211232438407	4.000000000000001	red	-0.5865533905076511
58	1.14e+006	19.0	-470.869	470.869	109.07827515067821	4.333333333333333	red	0.17506349618160438
59	1.16e+006	19.333333333333332	-444.408	444.408	102.94850181932259	4.666666666666665	red	-0.038344079809123625
60	1.18e+006	19.666666666666668	-396.33	396.33	91.81108289241443	5.000000000000001	red	-0.42609244300334237
61	1.2e+006	20.0	-572.369	572.369	132.59106730262246	5.333333333333333	blue	0.9936595040066633
62	1.22e+006	20.333333333333332	-488.35	488.35	113.12780342267956	5.666666666666665	blue	0.31604750418938615
63	1.24e+006	20.666666666666668	-466.552	466.552	108.07822861156546	6.000000000000001	blue	0.14024695464681833
64	1.26e+006	21.0	-451.948	451.948	104.69516637918129	6.333333333333333	blue	0.02246590934359474
65	1.28e+006	21.333333333333332	-386.686	386.686	89.57702015829275	6.666666666666665	blue	-0.5038711612246712
66	1.3e+006	21.666666666666668	-517.464	517.464	119.87215249373087	7.000000000000001	blue	0.5508514861777486
67	1.32e+006	22.0	-426.683	426.683	98.8424501849067	7.333333333333333	blue	-0.18129594422980527
68	1.34e+006	22.333333333333332	-475.468	475.468	110.14364787094217	7.666666666666665	blue	0.21215436357064318
69	1.36e+006	22.666666666666668	-448.461	448.461	103.88739193352781	8.000000000000002	blue	-0.005656694393212675
70	1.38e+006	23.0	-441.306	441.306	102.2299138266592	8.333333333333334	blue	-0.06336166420590549
